127.0.0.1, 2018-05-24 15:54:50, GET, /app1/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:54:50, GET, /app1/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:54:50, GET, /app1/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:54:50, GET, /app1/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-24 15:54:50, GET, /app1/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:54:51, GET, /app1/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:54:51, GET, /app1/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:54:51, GET, /app1/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:54:51, GET, /app1/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002000

127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:55:16, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.038000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.064000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.124000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:55:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.152000
127.0.0.1, 2018-05-24 15:55:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 15:55:17, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.137000
127.0.0.1, 2018-05-24 15:55:17, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 0.221000
127.0.0.1, 2018-05-24 15:56:09, POST, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-05-24 15:56:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.017000
